symbol,date,open,high,low,close,volume,candle_direction,body_size,candle_range,rolling_avg_close,body_strength,distance_from_avg,rolling_avg_body_size,rolling_avg_volume,trend_direction,signal
AAPL,2021-05-28,125.57,125.8,124.55,124.61,71311109,bearish_candle,0.96,1.25,124.61,0.77,0.0,0.96,71311109.0,sideways_trend,normal
AAPL,2021-06-01,125.08,125.35,123.94,124.28,67637118,bearish_candle,0.8,1.41,124.44,0.57,-0.13,0.88,69474114.0,bearish_trend,normal
AAPL,2021-06-02,124.28,125.24,124.05,125.06,59278900,bullish_candle,0.78,1.19,124.65,0.66,0.33,0.85,66075709.0,bullish_trend,normal
AAPL,2021-06-03,124.68,124.85,123.13,123.54,76229200,bearish_candle,1.14,1.72,124.37,0.66,-0.67,0.92,68614082.0,bearish_trend,normal
AAPL,2021-06-04,124.07,126.16,123.85,125.89,75169343,bullish_candle,1.82,2.31,124.68,0.79,0.97,1.1,69925134.0,bullish_trend,normal
AAPL,2021-06-07,126.17,126.32,124.83,125.9,71057600,bearish_candle,0.27,1.49,124.93,0.18,0.78,0.96,69874432.0,bullish_trend,normal
AAPL,2021-06-08,126.6,128.46,126.21,126.74,74403800,bullish_candle,0.14,2.25,125.43,0.06,1.04,0.83,71227769.0,bullish_trend,normal
AAPL,2021-06-09,127.21,127.75,126.52,127.13,56877937,bearish_candle,0.08,1.23,125.84,0.07,1.03,0.69,70747576.0,bullish_trend,normal
AAPL,2021-06-10,127.02,128.19,125.94,126.11,71186421,bearish_candle,0.91,2.25,126.35,0.4,-0.19,0.64,69739020.0,bearish_trend,normal
AAPL,2021-06-11,126.53,127.44,126.1,127.35,53522400,bullish_candle,0.82,1.34,126.65,0.61,0.55,0.44,65409632.0,bullish_trend,normal
AAPL,2021-06-14,127.82,130.54,127.07,130.48,96906500,bullish_candle,2.66,3.47,127.56,0.77,2.29,0.92,70579412.0,bullish_trend,strong_bullish_move
AAPL,2021-06-15,129.94,130.6,129.39,129.64,62746332,bearish_candle,0.3,1.21,128.14,0.25,1.17,0.95,68247918.0,bullish_trend,normal
AAPL,2021-06-16,130.37,130.89,128.46,130.15,91815026,bearish_candle,0.22,2.43,128.75,0.09,1.09,0.98,75235336.0,bullish_trend,normal
AAPL,2021-06-17,129.8,132.55,129.65,131.79,96721700,bullish_candle,1.99,2.9,129.88,0.69,1.47,1.2,80342392.0,bullish_trend,normal
AAPL,2021-06-18,130.71,131.51,130.24,130.46,108953309,bearish_candle,0.25,1.27,130.5,0.2,-0.03,1.08,91428573.0,bearish_trend,normal
AAPL,2021-06-21,130.3,132.41,129.21,132.3,79663316,bullish_candle,2.0,3.2,130.87,0.63,1.09,0.95,87979937.0,bullish_trend,normal
AAPL,2021-06-22,132.13,134.08,131.62,133.98,74783618,bullish_candle,1.85,2.46,131.74,0.75,1.7,1.26,90387394.0,bullish_trend,normal
