symbol,date,open,high,low,close,volume,candle_direction,body_size,candle_range,rolling_avg_close,body_strength,distance_from_avg,rolling_avg_body_size,rolling_avg_volume,trend_direction,signal,daily_range_pct,rolling_avg_range_pct,entry_price,entry_date,rr,risk_distance,stop_loss,take_profit
AAPL,2021-06-14,127.82,130.54,127.07,130.48,96906500,bullish_candle,2.66,3.47,127.56,0.77,2.29,0.92,70579412.0,bullish_trend,strong_bullish_move,2.66,1.43,129.94,2021-06-15,1:2,1.86,128.08,133.66
AAPL,2021-07-02,137.9,140.0,137.75,139.96,78945572,bullish_candle,2.06,2.25,137.06,0.92,2.12,1.28,64272035.0,bullish_trend,strong_bullish_move,1.61,1.43,140.07,2021-07-06,1:2,2.0,138.07,144.07
AAPL,2021-08-12,146.19,149.05,145.84,148.89,73779113,bullish_candle,2.7,3.21,146.52,0.84,1.62,0.81,58866245.0,bullish_trend,strong_bullish_move,2.16,1.54,148.97,2021-08-13,1:2,2.29,146.68,153.55
AAPL,2021-08-30,149.0,153.49,148.61,153.12,90956723,bullish_candle,4.12,4.88,149.45,0.84,2.46,1.53,60590810.0,bullish_trend,strong_bullish_move,3.19,1.8,152.66,2021-08-31,1:2,2.75,149.91,158.16
AAPL,2021-10-18,143.45,146.84,143.16,146.55,85589200,bullish_candle,3.1,3.68,143.51,0.84,2.12,1.57,75047051.0,bullish_trend,strong_bullish_move,2.51,1.9,147.01,2021-10-19,1:2,2.79,144.22,152.59
AAPL,2021-10-28,149.82,153.17,149.72,152.57,100077900,bullish_candle,2.75,3.45,149.61,0.8,1.98,0.86,65334054.0,bullish_trend,strong_bullish_move,2.26,1.49,147.22,2021-10-29,1:2,2.19,145.03,151.6
AAPL,2021-11-17,151.0,155.0,150.99,153.49,88807000,bullish_candle,2.49,4.01,150.47,0.62,2.01,1.31,62418004.0,bullish_trend,strong_bullish_move,2.61,1.56,153.71,2021-11-18,1:2,2.4,151.31,158.51
AAPL,2021-11-18,153.71,158.67,153.05,157.87,137827700,bullish_candle,4.16,5.62,152.47,0.74,3.54,1.93,81783544.0,bullish_trend,strong_bullish_move,3.56,1.64,157.65,2021-11-19,1:2,2.59,155.06,162.83
AAPL,2021-11-30,159.99,165.52,159.92,165.3,174048100,bullish_candle,5.31,5.6,161.14,0.95,2.58,2.08,101052328.0,bullish_trend,strong_bullish_move,3.39,2.17,167.48,2021-12-01,1:2,3.63,163.85,174.74
AAPL,2021-12-10,175.21,179.63,174.69,179.45,115402731,bullish_candle,4.24,4.94,173.12,0.86,3.66,2.13,113845554.0,bullish_trend,strong_bullish_move,2.75,2.55,181.12,2021-12-13,1:2,4.62,176.5,190.36
