symbol,signal_date,entry_date,entry_price,stop_loss,take_profit,n_days,outcome,exit_date,exit_price,return_pct
AAPL,2021-06-14,2021-07-02,137.9,135.93,141.84,3,TP_HIT,2021-07-06,141.84,2.86
AAPL,2021-07-02,2021-08-12,146.19,144.1,150.37,3,TP_HIT,2021-08-16,150.37,2.86
AAPL,2021-08-12,2021-08-30,149.0,146.71,153.58,3,TP_HIT,2021-09-01,153.58,3.07
AAPL,2021-08-30,2021-10-18,143.45,140.87,148.61,3,TP_HIT,2021-10-19,148.61,3.6
AAPL,2021-10-18,2021-10-28,149.82,146.97,155.52,3,SL_HIT,2021-10-29,146.97,-1.9
AAPL,2021-10-28,2021-11-17,151.0,148.75,155.5,3,TP_HIT,2021-11-18,155.5,2.98
AAPL,2021-11-17,2021-11-18,153.71,151.31,158.51,3,TP_HIT,2021-11-19,158.51,3.12
AAPL,2021-11-18,2021-11-30,159.99,157.37,165.23,3,TP_HIT,2021-12-01,165.23,3.28
AAPL,2021-11-30,2021-12-10,175.21,171.41,182.81,3,EXPIRED,2021-12-15,179.3,2.33
AAPL,2021-12-10,2022-01-03,177.83,173.3,186.89,3,SL_HIT,2022-01-06,173.3,-2.55
AAPL,2022-01-03,2022-01-28,165.71,161.83,173.47,3,TP_HIT,2022-01-31,173.47,4.68
AAPL,2022-01-28,2022-07-27,152.58,148.03,161.68,3,TP_HIT,2022-07-29,161.68,5.96
AAPL,2022-07-27,2022-08-03,160.84,156.96,168.6,3,EXPIRED,2022-08-08,164.87,2.51
AAPL,2022-08-03,2022-09-12,159.59,155.89,166.99,3,SL_HIT,2022-09-13,155.89,-2.32
AAPL,2022-09-12,2022-10-13,134.99,131.86,141.25,3,TP_HIT,2022-10-14,141.25,4.64
AAPL,2022-10-13,2022-10-21,142.87,138.51,151.59,3,TP_HIT,2022-10-25,151.59,6.1
AAPL,2022-10-21,2022-10-28,148.2,143.96,156.68,3,EXPIRED,2022-11-02,145.03,-2.14
AAPL,2022-10-28,2022-11-10,141.24,136.56,150.6,3,TP_HIT,2022-11-15,150.6,6.63
AAPL,2022-11-10,2023-02-03,148.03,142.75,158.59,3,EXPIRED,2023-02-08,151.92,2.63
AAPL,2023-02-03,2023-03-03,148.04,144.07,155.98,3,TP_HIT,2023-03-06,155.98,5.36
AAPL,2023-03-03,2023-03-16,152.16,149.48,157.52,3,TP_HIT,2023-03-20,157.52,3.52
AAPL,2023-03-16,2023-03-31,162.44,159.0,169.32,3,EXPIRED,2023-04-05,163.76,0.81
AAPL,2023-03-31,2023-04-13,161.63,158.51,167.87,3,EXPIRED,2023-04-18,166.47,2.99
AAPL,2023-04-13,2023-04-27,165.19,162.7,170.17,3,TP_HIT,2023-05-01,170.17,3.01
AAPL,2023-04-27,2023-05-05,170.98,168.53,175.88,3,EXPIRED,2023-05-10,173.56,1.51
AAPL,2023-05-05,2023-06-01,177.7,175.02,183.06,3,TP_HIT,2023-06-05,183.06,3.02
AAPL,2023-06-01,2023-07-17,191.9,189.46,196.78,3,TP_HIT,2023-07-19,196.78,2.54
AAPL,2023-07-17,2023-08-29,179.7,177.45,184.2,3,TP_HIT,2023-08-30,184.2,2.5
AAPL,2023-08-29,2023-10-06,173.8,170.86,179.68,3,TP_HIT,2023-10-10,179.68,3.38
AAPL,2023-10-06,2024-01-18,186.09,182.52,193.23,3,TP_HIT,2024-01-22,193.23,3.84
AAPL,2024-01-18,2024-04-11,168.34,165.8,173.42,3,TP_HIT,2024-04-12,173.42,3.02
AAPL,2024-04-11,2024-06-11,193.65,190.9,199.15,3,TP_HIT,2024-06-12,199.15,2.84
AAPL,2024-06-11,2024-07-10,229.3,225.04,237.82,3,EXPIRED,2024-07-15,234.4,2.22
AAPL,2024-07-10,2024-09-19,224.99,220.38,234.21,3,EXPIRED,2024-09-24,227.37,1.06
AAPL,2024-09-19,2024-09-30,230.04,225.53,239.06,3,SL_HIT,2024-10-01,225.53,-1.96
AAPL,2024-09-30,2024-12-17,250.08,245.98,258.28,3,SL_HIT,2024-12-20,245.98,-1.64
AAPL,2024-12-17,2025-01-27,224.02,220.91,230.24,3,TP_HIT,2025-01-28,230.24,2.78
AAPL,2025-01-27,2025-01-28,230.85,225.68,241.19,3,TP_HIT,2025-01-31,241.19,4.48
AAPL,2025-01-28,2025-03-21,211.56,206.48,221.72,3,TP_HIT,2025-03-25,221.72,4.8
AAPL,2025-03-21,2025-04-09,171.95,166.93,181.99,3,TP_HIT,2025-04-10,181.99,5.84
AAPL,2025-04-09,2025-08-06,205.63,195.51,225.87,3,TP_HIT,2025-08-08,225.87,9.84
AAPL,2025-08-06,2025-08-08,220.83,216.28,229.93,3,TP_HIT,2025-08-12,229.93,4.12
AAPL,2025-08-08,2025-09-19,241.23,235.56,252.57,3,TP_HIT,2025-09-22,252.57,4.7
AAPL,2025-09-19,2025-09-22,248.3,243.76,257.38,3,EXPIRED,2025-09-25,256.87,3.45
AAPL,2025-09-22,2025-10-20,255.89,250.9,265.87,3,EXPIRED,2025-10-23,259.58,1.44
AAPL,2025-10-20,2025-10-27,264.88,259.64,275.36,3,EXPIRED,2025-10-30,271.4,2.46
AAPL,2025-10-27,2025-11-11,269.81,264.2,281.03,3,EXPIRED,2025-11-14,272.41,0.96
AAPL,2025-11-11,2025-12-01,278.01,272.95,288.13,3,TP_HIT,2025-12-03,288.13,3.64
AAPL,2025-12-01,2026-02-02,260.03,254.62,270.85,3,TP_HIT,2026-02-03,270.85,4.16
AAPL,2026-02-02,2026-04-15,258.16,252.2,270.08,3,TP_HIT,2026-04-17,270.08,4.62
AAPL,2026-04-15,2026-05-13,293.5,286.93,306.64,3,EXPIRED,2026-05-18,297.84,1.48
MSFT,2021-07-02,2021-10-14,299.21,295.17,307.29,3,TP_HIT,2021-10-18,307.29,2.7
MSFT,2021-10-14,2021-10-27,316.0,310.12,327.76,3,TP_HIT,2021-10-29,327.76,3.72
MSFT,2021-10-27,2021-10-29,324.13,319.56,333.27,3,TP_HIT,2021-11-02,333.27,2.82
MSFT,2021-10-29,2021-12-10,334.98,330.09,344.76,3,SL_HIT,2021-12-14,330.09,-1.46
MSFT,2021-12-10,2022-02-24,272.51,266.38,284.77,3,TP_HIT,2022-02-25,284.77,4.5
MSFT,2022-02-24,2022-03-28,304.33,295.63,321.73,3,EXPIRED,2022-03-31,308.31,1.31
MSFT,2022-03-28,2022-06-24,261.81,255.11,275.21,3,EXPIRED,2022-06-29,260.26,-0.59
MSFT,2022-06-24,2022-10-13,219.85,214.4,230.75,3,TP_HIT,2022-10-14,230.75,4.96
MSFT,2022-10-13,2022-10-21,234.74,227.82,248.58,3,TP_HIT,2022-10-25,248.58,5.9
MSFT,2022-10-21,2022-11-10,235.43,228.34,249.61,3,EXPIRED,2022-11-15,241.97,2.78
MSFT,2022-11-10,2022-11-30,240.57,232.94,255.83,3,TP_HIT,2022-12-01,255.83,6.34
MSFT,2022-11-30,2022-12-12,247.45,241.71,258.93,3,TP_HIT,2022-12-13,258.93,4.64
MSFT,2022-12-12,2023-02-02,258.82,252.79,270.88,3,EXPIRED,2023-02-07,267.56,3.38
MSFT,2023-02-02,2023-02-07,260.53,254.25,273.09,3,TP_HIT,2023-02-08,273.09,4.82
MSFT,2023-02-07,2023-03-16,265.21,258.63,278.37,3,TP_HIT,2023-03-17,278.37,4.96
MSFT,2023-03-16,2023-03-31,283.73,277.06,297.07,3,EXPIRED,2023-04-05,284.34,0.21
MSFT,2023-03-31,2023-04-27,295.97,289.22,309.47,3,EXPIRED,2023-05-02,305.41,3.19
MSFT,2023-04-27,2023-05-18,314.53,308.55,326.49,3,EXPIRED,2023-05-23,315.26,0.23
